,0
0,6.0
1,5.0
2,2.0
3,1.0
4,3.0
5,3.0
6,2.0
7,3.0
8,4.0
9,5.0
10,1.0
11,2.0
12,3.0
13,5.0
14,2.0
15,2.0
16,2.0
17,4.0
18,4.0
19,1.0
20,5.0
21,4.0
22,4.0
23,4.0
24,1.0
25,6.0
26,3.0
27,5.0
28,1.0
29,4.0
30,4.0
31,6.0
32,5.0
33,5.0
34,2.0
35,5.0
36,4.0
37,1.0
38,4.0
39,2.0
40,5.0
41,5.0
42,4.0
43,5.0
44,5.0
45,3.0
46,1.0
47,3.0
48,2.0
49,4.0
50,3.0
51,1.0
52,3.0
53,5.0
54,4.0
55,2.0
56,3.0
57,4.0
58,6.0
59,4.0
60,1.0
61,4.0
62,4.0
63,1.0
64,4.0
65,3.0
66,4.0
67,1.0
68,2.0
69,1.0
70,4.0
71,5.0
72,5.0
73,1.0
74,1.0
75,4.0
76,5.0
77,4.0
78,4.0
79,4.0
80,4.0
81,4.0
82,2.0
83,3.0
84,2.0
85,3.0
86,1.0
87,1.0
88,4.0
89,6.0
90,5.0
91,4.0
92,1.0
93,3.0
94,2.0
95,2.0
96,5.0
97,4.0
98,3.0
99,2.0
100,5.0
101,4.0
102,1.0
103,4.0
104,4.0
105,3.0
106,4.0
107,5.0
108,4.0
109,3.0
110,6.0
111,4.0
112,4.0
113,1.0
114,3.0
115,3.0
116,5.0
117,5.0
118,4.0
119,1.0
120,4.0
121,6.0
122,6.0
123,1.0
124,2.0
125,3.0
126,1.0
127,5.0
128,5.0
129,4.0
130,4.0
131,5.0
132,1.0
133,3.0
134,3.0
135,2.0
136,1.0
137,5.0
138,4.0
139,3.0
140,3.0
141,3.0
142,5.0
143,4.0
144,2.0
145,4.0
146,4.0
147,4.0
148,2.0
149,4.0
150,3.0
151,6.0
152,5.0
153,2.0
154,2.0
155,6.0
156,6.0
157,4.0
158,1.0
159,2.0
160,2.0
161,3.0
162,1.0
163,5.0
164,3.0
165,3.0
166,5.0
167,5.0
168,4.0
169,6.0
170,4.0
171,5.0
172,1.0
173,1.0
174,5.0
175,4.0
176,1.0
177,6.0
178,2.0
179,2.0
180,4.0
181,6.0
182,4.0
183,4.0
184,5.0
185,3.0
186,1.0
187,2.0
188,1.0
189,1.0
190,5.0
191,2.0
192,3.0
193,5.0
194,6.0
195,1.0
196,3.0
197,1.0
198,2.0
199,3.0
